title,day,date,month,year,event_type,series,body,city,venue
Architecture as an Open Process,Friday,13,December,2013,Exhibition Opening,Studio-X,"In the framework of the year of Swiss Architecture &amp; Engineering in India 2013-14.<br />
please join us for..<br />
<br />
<span style=""font-size:12px;""><strong>&#39;Architecture as an Open Process&#39;</strong></span><br />
Recent works by Bijoy Jain, Studio Mumbai<br />
<br />
Exhibition of Photographs by Helene Binet, Enrico Cano and Ariel Huber<br />
Mock-ups, Sketches and models by Studio Mumbai",Mumbai,Studio-X Mumbai
CHINA-­‐EU METROPOLIS THINK TANK SUMMIT-“Culture Diversity of International Metropolis”,Wednesday,11,December,2013,Symposium,Studio-X,"CHINA-&shy;‐EU&nbsp;METROPOLIS&nbsp;THINK&nbsp;TANK&nbsp;SUMMIT-&ldquo;Culture&nbsp;Diversity&nbsp;of&nbsp;International&nbsp;Metropolis&rdquo;<br />
Time:&nbsp;December 9-11, 2013 (Monday to Wednesday)<br />
Venue :<br />
Studio-X Beijing, GSAPP, Columbia University( No. 46 Fangjia Hutong,Dongcheng District, Beijing)<br />
Supervised by:&nbsp;Ministry of Culture of the People&rsquo;s Republic of CHINA<br />
Organized and hosted by:&nbsp;Beijing Contemporary Art Foundation<br />
Co-Organized by: Studio-X Beijing, Columbia Univesity<br />
<br />
With the development of China-EU ties in the recent years, cultural and intellectual communications between China and Europe have gotten closer and deeper. Initiation in 2012 of the &ldquo;China-Europe High-Level&nbsp;Humanistic Exchange and Dialogue Mechanism,&rdquo; aimed at turning humanistic communication into the third pillar of China-EU relations, has provided a fine platform for China-Europe communications in the fields of education, culture, science and technology and youth exchanges. &ldquo;China-Europe Cultural Summit&rdquo; as one of a series of high-end, pattern-setting and innovative activities has been incorporated into this framework.<br />
The purpose of the &ldquo;China-Europe Humanistic Think Tank Summit&rdquo; is to gather innovations, research findings, networking and experiences from talented persons in China and Europe to set a precedent&nbsp;for in-depth communication and long-term cooperation between high-end international resources and the Chinese government. This will have a far-reaching influence in implementing China&rsquo;s policy of &ldquo;building international cultural metropolises&rdquo; and &ldquo;urbanized development.&rdquo; It is expected to be another successful example of China-Europe humanistic and intellectual exchange.<br />
At present, cultural development has become one of the most important strategies of the Chinese government.<br />
Humanities, arts and culture&mdash;having potential to emancipate people from convention&mdash;are of far-reaching influence, while proactive pursuit of cultural diversity and multi-dimensional extension of thought is the core of creativity and innovation. With respect to society&rsquo;s richness and openness, knowledge-sharing among different social groups, fostering a uniquely urban culture, multi-layered integration in humanities venues plus international exchange and cooperation on urban issues, there is vast space for development in Chinese&nbsp;cities, including Beijing. A genuine communication platform and cooperative endeavor at the international level is earnestly needed.<br />
Organizing such an event, we hope to favorably influence the &ldquo;view of China&rdquo; as it takes form within foreign think tanks, and thereby to influence the ongoing formation of a &ldquo;view of China&rdquo; within international community.",Beijing,Studio-X Beijing
Annual MSRED Alumni Cocktail Party,Monday,16,December,2013,[object Object],Alumni,"Please join fellow alumni, staff and faculty at the Annual MSRED Alumni Cocktail Party for an end-of-the-year celebration of the MSRED Program.<br />
<br />
<a href=""http://robertnyc.com/"" target=""_blank"">Robert</a><br />
2 Columbus Circle<br />
New York, NY 10019<br />
<br />
Register <a href=""https://web.ovationtix.com/trs/pe.c/9855971"" target=""_blank"">here</a> by December 2.<br />
<br />
View pictures from the RED Alumni Forum and Reception on February 1, 2013 by visiting the <a href=""https://www.facebook.com/media/set/?set=oa.489008911156015&amp;type=1"" target=""_blank"">Facebook album</a>.<br />
<br />
Questions, contact <a href=""mailto:yjk2109@columbia.edu?subject=MSRED%20Alumni%20Cocktail%20Party%2C%2012%2F16"">Ellen Kim</a>, Manager of Alumni Relations and Annual Giving.",New York,Robert @ Museum of Arts and Design
Safari SZHK ,Friday,20,December,2013,Tour,Studio-X,"Shenzhen and Hong Kong residents can now use the metro to explore urban animal life.&nbsp; A public art project called &ldquo;Safari SZHK&rdquo; makes self-guided tours for metro riders to use on the train. We invite you to use the city&rsquo;s metro system and the Safari Base Camp to tour our shared urban zoo!<br />
<br />
The East Rail and Luobao lines are physical, urban transects through the region&rsquo;s most diverse range of ecosystems, on both sides of the border. They connect Shekou Port to Victoria Harbor, passing through mangrove forests, urban villages, and high-rise roosts along the way. Safari SZHK circulates audio tours and maps exploring the complexity, biodiversity, conflicts, and potentials of urban ecosystems.<br />
<br />
Tours are available online at www.safariszhk.org. To use Safari SZHK, anyone can download maps and audio files onto their computer, mp3 player or smart phone; and listen to narratives about animal life on the Hong Kong&rsquo;s East Rail Line and Shenzhen&rsquo;s Luobao line. Audio stories are timed to each metro stop from Kowloon to Shekou Port so riders can listen while they look out the train window. The project will be exhibited at the 2013 Bi-City Biennale of Urbanism/Architecture (http://www.szhkbiennale.org/) at two sites. &ldquo;Shenzhen Base Camp&rdquo; presents large-format maps and drawings of existing animal habitats in urban areas alongside related research from New York, Beijing and Sao Paulo. &ldquo;Hong Kong Base Camp&rdquo; includes a sound installation, and large-format drawings of design proposals for new, hybrid habitats created by graduate architecture students at the Hong Kong University.&nbsp;<br />
<br />
This project and exhibition were created by Juan Du at the Hong Kong University Faculty of Architecture, the graphic design firm MTWTF and the Columbia University Urban Landscape Lab. Research, podcasts, and exhibition posters were produced by students in a design studio led by Professor Juan Du at HKU, with students Ho Yi Chau, Xiangdong Hu, Mandy Kwok, Nathaniel Lam, Joyce Lee, Lok Yan Leung, Ee Harn Low, Wallace Ng, Tak Shing Tang, Yixi Wang, Fan Wen, Kin Man Wong, Cherry Cheung and Calvin Liang. Production and Design Assistance by Cherry Cheung and Pedro Goncalves at MTWTF.&nbsp;<br />
<br />
Safari SZHK is the fourth in a series of tours that started in New York in 2009, and extended to Beijing in 2011 and S&atilde;o Paulo in 2013 through the Columbia Studio-X Global Network. The Safari series was founded by the Urban Landscape Lab and MTWTF. &nbsp;<br />
<br />
<br />
深圳本營<br />
Shenzhen Basecamp<br />
展覽於深圳南山區蛇口工業區 展館A 主題演繹館<br />
Exhibition at The Manifesto/Prospective Venue, Venue A,<br />
Shekou Industrial Zone, Nanshan District, Shenzhen<br />
日期 Date: 06.12.2013 - 28.02.2014<br />
<br />
香港本營<br />
Hong Kong Basecamp<br />
展覽於香港九龍觀塘渡輪碼頭<br />
Exhibition at Kwun Tong Ferry Pier, Kowloon, Hong Kong<br />
日期 Date: 20.12.2013 - 28.02.2014<br />
<br />
www.safariszhk.org",Other East Asia,Hong Kong
Architecture as an Open Process,Friday,13,December,2013,Exhibition,Studio-X,"Continuing Exhibition<br />
December 13th through December 22nd 2013<br />
Monday - Friday<br />
10am-7pm<br />
Saturday<br />
by appointment only<br />
<br />
Exhibition of Photographs by Helene Binet, Enrico Cano and Ariel Huber<br />
Mock-ups, Sketches and models by Studio Mumbai",Mumbai,
Infrastructure and Urban Development: A Tale of Two Cities,Tuesday,10,December,2013,Lecture,Studio-X,"Few would contest that infrastructure has been key to the evolution of the world&rsquo;s great cities, or that maintaining public infrastructure is key to a city&rsquo;s continued growth and vitality.&nbsp; That infrastructure can take a variety of forms &ndash; clean water supply, water removal, telecom and energy, social infrastructure (such as parks and schools) and of course transportation.<br />
<br />
While all of these forms of infrastructure are necessary for a successful city, transportation has played a particularly seminal role in the development of western cities over the last hundred years. Public transit opened up parts of cities like London and New York that had hitherto been considered remote backwaters, prompting real estate development and strengthening the ability of the city to cater for people of diverse economic backgrounds and levels.<br />
<br />
Throughout much of the 20th century, both London and New York took privately-founded transit operations into public control and built complex and extensive underground transit networks that move millions of people each year.&nbsp; These were complemented by relatively efficient roadway and bridge networks that together allowed people to move freely and quickly across all parts of the city.<br />
<br />
However in the last several decades, the fate of the two cities - with respect to the continued evolution of their transportation networks &ndash; have been dramatically different. London has continued to expand and strengthen both its tube system and the roads and bridges that support the capital, with new tube lines, light rail systems, major new heavy rail connectors, new motorways and new bridges.&nbsp; New York has failed to replace several of its most decrepit bridges, is struggling to find funds to maintain what it has, and is only now undertaking construction to complete only part of a new subway line originally envisioned in the 1920&rsquo;s.<br />
<br />
This session will explore the factors that have led to this disparity, and pose some questions as to lessons that can be learned in comparing and contrasting these two cities.<br />
<br />
Venue:&nbsp;<br />
Studio-X Istanbul<br />
Meclis-i Mebusan Caddesi 35A<br />
34433 Salıpazarı, Istanbul<br />
Turkey<br />
<br />
",Istanbul,Studio-X Istanbul
POP-UP Studio-X Shenzhen Launch Events,Saturday,7,December,2013,Opening,Studio-X,"<u>Saturday, December 7th:</u><br />
<strong>15:30 - 16.00&nbsp;</strong>&nbsp;<strong>POP-UP Studio-X Opening Event</strong><br />
A celebration and opening of the POP-UP Studio-X Shenzhen.<br />
Venue: POP-UP Studio-X Shenzhen. The Value Factory, Venue-A-Chiwan Road, Shekou Industrial Zone, Nanshan District, Shenzhen<br />
<br />
<strong>16:00 - 17.00</strong> &nbsp;<strong>City-Cultural identities in the making: Contemporary politics of the imagination</strong><br />
This dialogue will focus on city and cultural identities in the making and contextualize it to the Shenzhen condition.<br />
Mark Wigley (Dean, GSAPP, Columbia University), Pedro Rivera (Director, Studio-X Rio), Li Hu&nbsp; (Director, Studio-X Beijing), Daisuke Hirose (Director, Tokyo Lab) and Marisa Yiu (Curator, POP-UP Studio-X Shenzhen/Hong Kong) and Tat Lam (Director, Urbanus) will share and present work on the projective imaginations of the future of the city. Specific events, such as the role of the Olympic Games and its consequences in the built environment will be highlighted; where experiences of Beijing, to the future of Rio de Janeiro and Tokyo will be discussed.<br />
Venue: POP-UP Studio-X Shenzhen. The Value Factory, Venue-A-Chiwan Road, Shekou Industrial Zone, Nanshan District, Shenzhen<br />
<br />
<u>Sunday, December 8th:</u><br />
<strong>11:00 - 12.30 &nbsp;</strong><strong>The Value Factory Dialogue: The Future of Architecture Education</strong><br />
Opening debate on the future of architecture education, with Nanne de Ru (The Berlage), Mark Wigley (Columbia University, GSAPP), Puay-peng Ho (School of Architecture, CUHK) and Alexander d&rsquo;Hooghe (MIT Architecture).<br />
Venue:&nbsp; Auditorium, The Value Factory, Venue-A-Chiwan Road, Shekou Industrial Zone, Nanshan District, Shenzhen.<br />
<br />
<strong>19:00 - 21:30</strong>&nbsp; <strong>Studio-X Preview Party:</strong>&nbsp;<strong>Cultural Networks and Cross-Border Biennales</strong><br />
This will be the soft opening and cocktail party, marking the first event for the HK side of the Bi-city Biennale of Urbanism\Architecture. Mark Wigley (Dean, GSAPP, Columbia University), Marisa Yiu (Curator, POP-UP Studio-X Shenzhen/Hong Kong) and Studio-X Directors from Beijing, Rio and Tokyo will present the global Studio-X short film followed by special sound performances by Hong Kong-based artists.<br />
Contemporary musician Sascia Pellegrini traverses the borders of media and genre. A classically trained percussionist, pianist and composer, he will perform contemporary soundscapes with digitally-processed backtracks in combination with his physically intense percussion playing. Kelly Dance from her Kwun Tong based studio will perform vocals and acoustic guitar from her newly released album Goodnight Berlin, and Hong Kong-based musician William Lane presents a new work based on urban borders and imaginary space.<br />
Venue: Flyover the Flyover 01 (FF01) 136 Hoi Bun Road, East Kowloon Waterfront.<br />
<br />
<br />
<u>Schedule of 2014 Events at POP-UP Studio-X Shenzhen</u><br />
<br />
<u>Friday, January 17th</u><br />
<strong>10.30 - 18.00 Cross Border Education Workshop: Architectures of Sharing</strong><br />
Studio-X forms a new kind of architecture of sharing as an international workshop, a space for real-time exchange of projects, people and ideas between regional leadership cities. What are the challenges and possibilities of this emerging way of thinking and sharing for a local context? Case Studies will include: Cross border education between Hong Kong-Shenzhen, the recent mass protests on Chinese identity, mixed use districts, creative clusters and the future of institutional collaborations. Discussions will engage with local universities and Columbia University students and faculty, and Studio-X directors.With:<br />
<br />
<strong>Marisa Yiu</strong> (Curator, Pop-Up Studio X Shenzhen; Assistant Professor of Architecture, CUHK)<br />
<strong>Magu Bueno</strong> (Director, S&atilde;o Paulo Lab)<br />
<strong>Tat Lam and Travis Bunt</strong> (Directors, Urbanus Hong Kong &amp; Shenzhen)<br />
Faculty members and guests from the School of Architecture, The Chinese University of Hong Kong.<br />
<br />
Venue: POP-UP Studio-X Shenzhen, The Value Factory, Venue-A-Chiwan Road, Shekou Industrial Zone, Nanshan District, Shenzhen.<br />
<br />
<u>Saturday, February 22nd</u><br />
<strong>SYMPOSIUM| SCREENING: Of Sites and Contexts: engaging locality and the cultural networks of the Pearl River Delta</strong><br />
<br />
Venue: The Value Factory at the Bi-city Biennale of Urbanism\Architecture (UABB) in Shenzhen<br />
Language: English<br />
A collaboration between Hong Kong based non-profit organisations, POP-UP Studio-X Shenzhen, and the Value Factory at the Bi-city Biennale of Urbanism\Architecture (UABB) in Shenzhen.<br />
<br />
This one-day programme seeks to explore social, cultural and economic networks in the production and shaping of spatial narratives at the Value Factory of the Bi-City Biennale of Urbanism/Architecture in Shenzhen.<br />
As a platform for discussion on art, architecture, and urbanism, &lsquo;Engaging locality and the cultural networks of the Pearl River Delta,&rsquo; examines the contexts of venues like the Value Factory, a rehabilitated float glass factory in Shekou, Shenzhen, as well as other sites of cultural regeneration. This event seeks to unpack notions of gentrification by looking at models of cultural production and activist practice through a network of practitioners, scholars, and academics from different disciplines.<br />
<br />
SCREENING &ndash; PART I<br />
<strong>12.30 - 14.10:</strong><br />
Introduction by <strong>Qinyi Lim</strong> (Curator, Para Site Art Space)<br />
<br />
Modern Times, Charlie Chaplin (89 min)<br />
Written and directed by Charlie Chaplin, this silent film was and still seen as a critical commentary on the labor, employment and fiscal conditions subjected on people in the modern, industrialized world that surfaced in the shadow of the Great Depression.<br />
<br />
TOUR<br />
<strong>13.00 - 13.30:</strong><br />
Tour of Value Factory at the Bi-city Biennale of Urbanism\Architecture (UABB) in Shenzhen<br />
<br />
PANEL DISCUSSION<br />
<strong>14.30 - 16.00:</strong><br />
Welcome and Introduction by <strong>Marisa Yiu</strong> (Curator, POP-UP Studio-X Shenzhen &amp; Assistant Professor, School of Architecture, The Chinese University of Hong Kong)<br />
<br />
This discussion will consider the recent history and development of economic and cultural policies in the Pearl River Delta region. Taking into consideration recent cultural projects, this panel seeks to explore questions of sustainability and formation of creative spaces in a capitalistic context and the commodification of cultural industries both past and present. This discussion will look upon the definitions of preservation, renewal of heritage sites, and their links to gentrification. It questions whom this renewal is for and the assumption of historical amnesia upon which such renewal hinges.<br />
<br />
Ole Bouman is a Dutch architecture specialist, and is the Creative Director of the Bi-City Biennale of Urbanism/Architecture (Shenzhen).<br />
Lu Hong is an artist and curator, and is the Artistic Director of the Shenzhen Art Museum.<br />
Carol Yinghua Lu is a curator and art critic, and the Art Director at OCT Contemporary Art Terminal.<br />
Moderator: Koon Yeewan is Associate Professor in the department of Fine Arts at Hong Kong University.<br />
Respondent: Eddie Lui Fung-Ngar is an artist, and the Project Advisor of the Ink Society.<br />
<br />
SCREENING &ndash; PART II<br />
<strong>16.00 - 16.30:</strong><br />
Introduction by <strong>Lydia Chan</strong> (Programme Manager, The Ink Society)<br />
<br />
Whose Utopia, Cao Fei (22min)<br />
Whose Utopia locates itself on the lives of workers at the Osram lighting factory in the Pearl River Delta region. Filmed over a period of six months, Cao&#39;s film fuses the everyday mechanized experiences of the factory with the individualized performances of the workers, illuminating their silent aspirations.<br />
<br />
CASE STUDIES<br />
<strong>16.30 - 18.00:</strong><br />
Introduction by <strong>Chantal Wong</strong> (Strategy and Special Projects, Asia Art Archive)<br />
<br />
Taking locality as the starting point, each of the case studies inhabits the creative industry and economy while heeding the needs and wants of the local. This discussion seeks to explore the underlying exigency behind their practices, questioning the use of craft in a time when it is widely romanticised, the communities to which these case studies speak, and the longstanding effects of their practices.<br />
<br />
<strong>Jianxing He</strong> is a Founding Partner at O-office Architects, which focuses on Southern Chinese urbanity as a research and a design topic.<br />
<strong>Keith Lam</strong> is an artist and Founder of Dimension Plus, a creative team focused on new media-embedded space and cross-discipline interactive design.<br />
<strong>Marina Otero Verzier</strong> is an architect and researcher with a focus on geopolitics and contemporary cultures of circulation. She is the Director of global programming at Studio-X New York.<br />
<strong>Eric Schuldenfrei </strong>is a Founding Partner of ESKYIU and Associate Professor in the faculty of architecture at Hong Kong University. His work explores the relationship between architecture, animation, technology, and art.<br />
<strong>Zheng Guogu</strong> is an artist. His practice, encompassing architecture, design, and photography, reacts to the social and economic shifts happening in China.<br />
<br />
This event is organised by The School of Architecture at The Chinese University of Hong Kong, Asia Art Archive, Para Site Art Space, The Ink Society and Hong Kong Arts Festival in collaboration with POP-UP Studio-X Shenzhen and The Value Factory at the Bi-city Biennale of Urbanism\Architecture (UABB) in Shenzhen.<br />
<br />
More details here at POP-UP Studio-X Shenzhen http://events.gsapp.org/event/pop-up-studio-x-shenzhen-launch-events and<br />
http://popup.studio-x.org/<br />
For more detailed information on the <strong>Bi-City Biennale of Urbanism\Architecture 2013</strong> visit: http://2013.szhkbiennale.org/2013/?lang=en<br />
<br />
UABB SHENZHEN<br />
ADDRESS:&nbsp; Guang Dong Floating Glass Factory, Haiwan Road, Shekou, Nanshan<br />
District, Shenzhen, Guangdong Province, China<br />
Post code：518067<br />
<br />
地址：中国广东省深圳市南山区蛇口海湾路玻璃厂<br />
邮编：518067<br />
<br />
<br />
<br />
<br />
",Other East Asia,Shenzhen
21st Century Liffey: Design Concepts for Dublin’s River Quays ,Friday,6,December,2013,Exhibition,Exhibitions,"The city is in a constant state of flux, a work in progress. The stagnation of space due to conflicts in governance produces a type of civic ambivalence, one which has an insidious impact, affecting the citizens&rsquo; ability to connect with their city. <em>21st Century Liffey</em> explores these realities along Dublin&rsquo;s most important, but frequently overlooked asset: its river. Through the development of a &quot;Rooms and Corridors&quot; strategy, Irish urban designers David Jordan and Fergus Browne re-imagine and re-vision the Liffey Quays as a green boulevard linking park to bay and north to south: in short, becoming the <em>mise en sc&egrave;ne</em> of the Irish capital.<br />
<br />
By merging theoretical discourse with conceptual design solutions, their thought-provoking exhibition illustrates innovative ways of perceiving urban environments from the perspective of the pedestrian and articulates the important role the river can play in creating legible city spaces. The transcending themes of their research give it a particularly international dimension, encouraging a global conversation about the future of our cities.<br />
<br />
Join us for the opening reception at 7pm on Thursday, December 5. The exhibit will remain on display through December 19, 2013, and is open from 1pm to 5pm, Monday to Friday, or by appointment.",New York,Studio-X NYC
 Art Basel Miami Beach VIP Tours,Thursday,5,December,2013,[object Object],Alumni,"Please join us for a VIP Collectors Brunch at <a href=""http://www.designmiami.com/"" target=""_blank"">Design Miami</a> and an Architectural Tour of <a href=""http://www.pamm.org/"" target=""_blank"">Perez Art Museum Miami</a> (PAMM) during their opening week on December 5.<br />
<br />
Register <a href=""https://web.ovationtix.com/trs/pe.c/9855969"" target=""_blank"">here</a> by November 22.<br />
<br />
*Registration includes admission to the <a href=""https://alumni.columbia.edu/ecards/CAA_ArtBasel_Miami_120713"" target=""_blank"">Columbia Alumni Association Networking Reception</a> at the <a href=""http://www.nationalhotel.com/"" target=""_blank"">National Hotel</a> on December 7.<br />
<br />
<br />
10:00 - 11:15am: VIP Collectors Brunch<br />
Design Miami<br />
Meridian Avenue &amp; 19th Street<br />
Adjacent to the Miami Beach Convention Center<br />
Miami Beach, USA<br />
(<a href=""http://miami2013.designmiami.com/page/visitor-information-1"" target=""_blank"">map</a>)<br />
<br />
12:00 - 1:30pm: Architectural Tour<br />
Perez Art Museum Miami<br />
1103 Biscayne Blvd<br />
Miami, FL 33132<br />
(<a href=""https://maps.google.com/maps?q=1103+Biscayne+Blvd,+Miami+FL&amp;hnear=1103+Biscayne+Blvd,+Miami,+Florida+33130&amp;gl=us&amp;t=m&amp;z=16"" target=""_blank"">map</a>)<br />
<br />
*Shuttle service provided.<br />
<br />
For questions, contact <a href=""mailto:yjk2109@columbia.edu?subject=Art%20Basel%20Miami%20Beach%20VIP%20Tours"">Ellen Kim</a>, Manager of Alumni Relations and Annual Giving.",Other North America,"Miami, FL"
Designing the Future,Tuesday,3,December,2013,Panel,Studio-X,"Addressing the immense challenges facing New York City in the coming decades &mdash; climate change, dramatic population growth, aging infrastructure, poverty, and more &mdash; will necessitate significant interventions in the built environment. Real progress will require highly creative thinking on the part of designers, government officials, concerned citizens, and many others.<br />
<br />
To help celebrate the 25th anniversary of its New York office, Arup put out a <a href=""http://architizer.com/blog/future-nyc/"">public call for blue-sky ideas</a> about the future of the city. On December 3, a panel will discuss some of the responses, as well as the possibilities and limitations of this kind of exercise. Can speculative thinking bring value to the day-to-day design process? Are some kinds more useful than others? How can designers and clients &mdash; public, private, and institutional &mdash; better reconcile the need to think big with the need to work within strict project constraints?<br />
<br />
The event will be moderated by <em>Architizer</em> founder <strong>Marc Kushner</strong>. Panelists include <strong>Eric Ho</strong>, architect and founder of made in Lower East Side; <strong>Kevin Findlan</strong>, associate director of New York University&rsquo;s Furman Center for Real Estate and Urban Policy; <strong>Zak Kostura</strong>, structural engineer at Arup; <strong>Kaja K&uuml;hl</strong>, founder of research, design, and planning practice youarethecity; and&nbsp;<strong>Brad Samuels</strong>, partner at Situ Studio.<br />
<br />
Free and open to the public; <strong>RSVP required</strong> to&nbsp;arupconnect@arup.com.",New York,Studio-X NYC
